n =  10
m =  15
   V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15
1  -1  1  1  1  1  1  1  1 -1  -1   1   1  -1  -1  -1
2  -1 -1  1 -1  1  1  1  1  1   1   1  -1   1   1   1
3  -1 -1 -1 -1 -1 -1 -1  1 -1  -1  -1  -1  -1   1  -1
4   1  1 -1  1 -1 -1  1  1  1  -1   1   1   1   1   1
5   1 -1  1  1 -1  1  1 -1  1  -1  -1  -1  -1  -1   1
6  -1  1  1 -1  1 -1 -1 -1  1  -1   1  -1   1  -1  -1
7   1 -1  1  1  1  1 -1  1  1  -1  -1   1   1   1  -1
8   1  1  1  1  1 -1  1  1 -1   1  -1  -1   1   1  -1
9   1  1  1 -1 -1  1 -1  1 -1   1  -1   1   1  -1   1
10  1  1 -1 -1  1  1  1 -1  1   1  -1   1  -1   1  -1
